2024-10-18T07:34:26.557Z	 stat 	CPU: 0m, MEMORY: Alloc=4.0Mi, TotalAlloc=41.1Mi, Sys=18.8Mi, NumGC=14	caller=stat/usage.go:61
2024-10-18T07:34:26.683Z	 stat 	(api) shedding_stat [1m], cpu: 0, total: 0, pass: 0, drop: 0	caller=load/sheddingstat.go:61
2024-10-18T07:35:18.914Z	 stat 	(problems-api) - qps: 0.0/s, drops: 0, avg time: 0.0ms, med: 0.0ms, 90th: 0.0ms, 99th: 0.0ms, 99.9th: 0.0ms	caller=stat/metrics.go:210
2024-10-18T07:35:26.556Z	 stat 	CPU: 0m, MEMORY: Alloc=3.6Mi, TotalAlloc=44.0Mi, Sys=18.8Mi, NumGC=15	caller=stat/usage.go:61
2024-10-18T07:35:26.681Z	 stat 	(api) shedding_stat [1m], cpu: 0, total: 0, pass: 0, drop: 0	caller=load/sheddingstat.go:61
2024-10-18T07:36:18.912Z	 stat 	(problems-api) - qps: 0.0/s, drops: 0, avg time: 0.0ms, med: 0.0ms, 90th: 0.0ms, 99th: 0.0ms, 99.9th: 0.0ms	caller=stat/metrics.go:210
2024-10-18T07:36:26.552Z	 stat 	CPU: 0m, MEMORY: Alloc=6.5Mi, TotalAlloc=46.9Mi, Sys=18.8Mi, NumGC=15	caller=stat/usage.go:61
2024-10-18T07:36:26.679Z	 stat 	(api) shedding_stat [1m], cpu: 0, total: 0, pass: 0, drop: 0	caller=load/sheddingstat.go:61
2024-10-18T07:37:18.910Z	 stat 	(problems-api) - qps: 0.0/s, drops: 0, avg time: 0.0ms, med: 0.0ms, 90th: 0.0ms, 99th: 0.0ms, 99.9th: 0.0ms	caller=stat/metrics.go:210
2024-10-18T07:37:26.551Z	 stat 	CPU: 0m, MEMORY: Alloc=5.9Mi, TotalAlloc=49.8Mi, Sys=18.8Mi, NumGC=16	caller=stat/usage.go:61
2024-10-18T07:37:26.677Z	 stat 	(api) shedding_stat [1m], cpu: 0, total: 0, pass: 0, drop: 0	caller=load/sheddingstat.go:61
2024-10-18T07:38:18.916Z	 stat 	(problems-api) - qps: 0.0/s, drops: 0, avg time: 0.0ms, med: 0.0ms, 90th: 0.0ms, 99th: 0.0ms, 99.9th: 0.0ms	caller=stat/metrics.go:210
2024-10-18T07:38:26.543Z	 stat 	CPU: 0m, MEMORY: Alloc=5.6Mi, TotalAlloc=52.8Mi, Sys=18.8Mi, NumGC=17	caller=stat/usage.go:61
2024-10-18T07:38:26.670Z	 stat 	(api) shedding_stat [1m], cpu: 0, total: 0, pass: 0, drop: 0	caller=load/sheddingstat.go:61
2024-10-18T07:39:18.902Z	 stat 	(problems-api) - qps: 0.0/s, drops: 0, avg time: 0.0ms, med: 0.0ms, 90th: 0.0ms, 99th: 0.0ms, 99.9th: 0.0ms	caller=stat/metrics.go:210
2024-10-18T07:39:26.553Z	 stat 	CPU: 0m, MEMORY: Alloc=5.2Mi, TotalAlloc=55.7Mi, Sys=22.8Mi, NumGC=18	caller=stat/usage.go:61
2024-10-18T07:39:26.670Z	 stat 	(api) shedding_stat [1m], cpu: 0, total: 0, pass: 0, drop: 0	caller=load/sheddingstat.go:61
